name,continent,co2_emissions,climate,area,latitude,longitude,population
Afghanistan,Asia,7.893,14.48,652230,33 00 N,65 00 E,40121552
Albania,Europe,3.794,13.31,27398,41 00 N,20 00 E,3107100
Algeria,Africa,151.633,24.11,2381740,28 00 N,3 00 E,47022473
American Samoa,Oceania,0.355,27.31,224,14 20 S,170 00 W,43895
Andorra,Europe,0.483,9.73,468,42 30 N,1 30 E,85370
Angola,Africa,19.362,21.63,1246700,12 30 S,18 30 E,37202061
Antigua and Barbuda,North and Central America,0.729,27.06,443,17 03 N,61 48 W,102634
Argentina,South America,193.205,15.07,2736690,34 00 S,64 00 W,46994384
Armenia,Asia,6.354,8.64,28203,40 00 N,45 00 E,2976765
Aruba,North and Central America,1.254,28.82,180,12 30 N,69 58 W,125063
Australia,Oceania,417.87,21.96,7682300,27 00 S,133 00 E,26768598
Austria,Europe,65.54,8.65,83871,47 20 N,13 30 E,8967982
Azerbaijan,Asia,35.389,13.84,86600,40 30 N,47 30 E,10650239
Bahamas,North and Central America,3.984,26.05,13880,24 15 N,76 00 W,410862
Bahrain,Asia,43.112,28.84,760,26 00 N,50 33 E,1566888
Bangladesh,Asia,96.18,25.74,148460,24 00 N,90 00 E,168697184
Barbados,North and Central America,1.703,26.45,430,13 10 N,59 32 W,304139
Belarus,Europe,54.695,7.98,207600,53 00 N,28 00 E,9501451
Belgium,Europe,128.247,11.98,30528,50 50 N,4 00 E,11977634
Belize,North and Central America,0.541,25.83,22966,17 15 N,88 45 W,415789
Benin,Africa,6.903,28.09,112622,9 30 N,2 15 E,14697052
Bhutan,Asia,0.934,10.56,38394,27 30 N,90 30 E,884546
Bolivia,South America,17.786,20.68,1098581,17 00 S,65 00 W,12311974
Bosnia and Herzegovina,Europe,16.209,11.57,51197,44 00 N,18 00 E,3798671
Botswana,Africa,5.965,22.00,581730,22 00 S,24 00 E,2450668
Brazil,South America,456.67,25.54,8515770,10 00 S,55 00 W,220051512
Brunei,Asia,9.956,27.00,5765,4 30 N,114 40 E,491900
Bulgaria,Europe,38.373,12.28,110879,43 00 N,25 00 E,6782659
Burkina Faso,Africa,4.444,29.28,274200,13 00 N,2 00 W,23042199
Burma,Asia,31.848,23.96,676578,22 00 N,98 00 E,57527139
Burundi,Africa,0.715,20.43,27830,3 30 S,30 00 E,13590102
Cabo Verde,Africa,1.002,22.67,4033,16 00 N,24 00 W,611014
Cambodia,Asia,13.844,27.25,181035,13 00 N,105 00 E,17063669
Cameroon,Africa,7.105,24.94,475440,6 00 N,12 00 E,30966105
Canada,North and Central America,612.084,-4.22,9984670,60 00 N,95 00 W,38794813
Central African Republic,Africa,0.285,25.56,622984,7 00 N,21 00 E,5650957
Chad,Africa,1.771,27.28,128400,15 00 N,19 00 E,19093595
Chile,South America,88.333,9.37,756102,30 00 S,71 00 W,18664652
China,Asia,10773.248,8.10,9596960,35 00 N,105 00 E,1416043270
Colombia,South America,81.007,24.71,1138910,4 00 N,72 00 W,49588357
Comoros,Africa,0.326,23.74,2235,12 10 S,44 15 E,900141
Democratic Republic of Congo,Africa,2.653,25.05,2344858,0 00 N,25 00 E,115403027
Congo,Africa,4.523,24.38,342000,1 00 S,15 00 E,6097665
Cook Islands,Oceania,0.114,26.50,236,21 14 S,159 46 W,7761
Costa Rica,North and Central America,8.115,24.64,51100,10 00 N,84 00 W,5265575
Cote d’Ivoire,Africa,11.88,26.84,322463,8 00 N,5 00 W,29981758
Croatia,Europe,16.752,13.16,56594,45 10 N,15 30 E,4150116
Cuba,North and Central America,16.478,26.14,110860,21 30 N,80 00 W,10966038
Cyprus,Europe,8.024,19.33,9251,35 00 N,33 00 E,1320525
Czechia,Europe,99.533,9.71,78867,49 45 N,15 30 E,10837890
Denmark,Europe,33.85,9.77,43094,56 00 N,10 00 E,5973136
Djibouti,Africa,0.610,28.6,23200,11 30 N,43 00 E,994974
Dominica,North and Central America,0.182,26.68,751,15 25 N,61 20 W,74661
Dominican Republic,North and Central America,26.808,24.57,48670,19 00 N,70 40 W,10815857
Ecuador,South America,36.051,21.07,283561,2 00 S,77 30 W,18309984
Egypt,Africa,235.137,23.23,1001450,27 00 N,30 00 E,111247248
El Salvador,North and Central America,7.632,25.23,21041,13 50 N,88 55 W,6628702
Equatorial Guinea,Africa,4.528,24.89,28051,2 00 N,10 00 E,1795834
Eritrea,Africa,0.798,26.49,117600,15 00 N,39 00 E,6343956
Estonia,Europe,4.924,6.9,45228,59 00 N,26 00 E,1193791
Eswatini,Africa,1.224,20.6,17364,26 30 S,31 30 E,1138089
Ethiopia,Africa,16.798,23.45,1104300,8 00 N,38 00 E,118550298
Fiji,Oceania,1.691,24.98,18274,18 00 S,175 00 E,951611
Finland,Europe,41.996,3.24,338145,64 00 N,26 00 E,5626414
France,Europe,338.425,13.16,551500,46 00 N,2 00 E,68374591
French Polynesia,Oceania,1.03,24.05,4167,15 00 S,140 00 W,303540
Gabon,Africa,2.651,25.46,267667,1 00 S,11 45 E,2455105
The Gambia,Africa,0.606,28.46,11300,13 28 N,16 34 W,2523327
Georgia,Asia,10.299,9.92,69700,42 00 N,43 30 E,4900961
Germany,Europe,726.881,10.83,357022,51 00 N,9 00 E,84119100
Ghana,Africa,18.093,27.73,238533,8 00 N,2 00 W,34589092
Greece,Europe,70.163,14.88,131957,39 00 N,22 00 E,10461091
Grenada,North and Central America,0.316,26.33,344,12 07 N,61 40 W,114621
Guatemala,South America,19.041,23.77,108889,15 30 N,90 15 W,18255216
Guinea,Africa,2.981,25.95,245857,11 00 N,10 00 W,13986179
Guinea-Bissau,Africa,0.342,28.05,36125,12 00 N,15 00 W,2132325
Guyana,South America,2.743,26.16,214969,5 00 N,59 00 W,794099
Haiti,North and Central America,3.139,25.01,27750,19 00 N,72 25 W,11753943
Honduras,North and Central America,8.523,24.71,112090,15 00 N,86 30 W,9529188
Hong Kong,Asia,92.493,23.62,1108,22 15 N,114 10 E,7297821
Hungary,Europe,48.589,12.62,93028,47 00 N,20 00 E,9855745
Iceland,Europe,3.337,2.11,103000,65 00 N,18 00 W,364036
India,Asia,2314.738,25.2,3287263,20 00 N,77 00 E,1409128296
Indonesia,Asia,563.543,25.96,1904569,5 00 S,120 00 E,281562465
Iran,Asia,646.038,19.3,1648195,32 00 N,53 00 E,88386937
Iraq,Asia,143.479,23.81,438317,33 00 N,44 00 E,42083436
Ireland,Europe,35.475,10.35,70273,53 00 N,8 00 W,5233461
Israel,Asia,61.092,20.23,21937,31 30 N,34 45 E,9402617
Italy,Europe,332.041,14.38,301340,42 50 N,12 50 E,60964931
Jamaica,North and Central America,10.002,26.02,10991,18 15 N,77 30 W,2823713
Japan,Asia,1103.234,12.42,377915,36 00 N,138 00 E,123201945
Jordan,Asia,23.47,19.77,89342,31 00 N,36 00 E,11174024
Kazakhstan,Asia,263.689,8.06,2724900,48 00 N,68 00 E,20260006
